date,product,category,salesperson,cost_price,sell_price,quantity
2026-01-05,Laptop,Electronics,Ann,2400,3200,1
2026-01-05,Mouse,Electronics,Ann,40,80,3
2026-01-06,Desk,Furniture,Bob,400,650,1
2026-01-06,Chair,Furniture,Bob,180,300,2
2026-01-07,Laptop,Electronics,Cara,2400,3200,2
2026-01-07,Monitor,Electronics,Ann,600,900,1
2026-01-08,Bookshelf,Furniture,Bob,250,450,1
2026-01-08,Mouse,Electronics,Cara,40,80,5
2026-01-09,Chair,Furniture,Ann,180,300,1
2026-01-09,Keyboard,Electronics,Bob,80,150,2
2026-01-10,Laptop,Electronics,Ann,2400,3200,1
2026-01-10,Desk,Furniture,Cara,400,650,2
2026-01-11,Monitor,Electronics,Bob,600,900,2
2026-01-11,Mouse,Electronics,Ann,40,80,4
2026-01-12,Chair,Furniture,Cara,180,300,3
